timestamp,open,high,low,close,volume
2020-05-22,312.0000,319.0000,308.0000,314.1500,2202572
2020-05-21,312.0500,326.9500,312.0500,315.8000,5528405
2020-05-20,304.0000,310.9000,300.5500,309.0000,2697725
2020-05-19,311.0000,313.9000,301.0500,303.3500,3170929
2020-05-18,341.0000,341.0000,302.5000,305.8000,4232255
2020-05-15,343.5500,346.0000,333.6000,336.1000,2133151
2020-05-14,335.0000,351.5000,334.9500,342.3500,3315226
2020-05-13,348.9000,360.0000,342.0500,344.9000,4259118
2020-05-12,329.0000,344.5000,321.5000,338.1500,4095396
2020-05-11,319.3000,341.4000,315.0000,333.8000,6946543
2020-05-08,324.0000,326.7000,310.1000,313.4500,2425590
2020-05-07,321.0000,328.9000,316.3000,320.7500,3475639
2020-05-06,303.0000,330.0000,301.5500,323.4000,5164142
2020-05-05,315.0000,321.9000,306.0000,308.3500,2536044
2020-05-04,307.0000,312.8000,304.1000,310.4500,2608605
2020-04-30,313.5000,334.1000,311.2000,328.3500,8219947
2020-04-29,300.9000,311.0000,292.1000,307.9000,4271122
2020-04-28,301.0000,304.7500,291.3500,296.3000,3994514
2020-04-27,298.4000,305.4000,295.2500,299.3000,2658365
2020-04-24,298.0000,302.0000,289.0500,297.0000,4163580
2020-04-23,303.0000,306.9000,297.7500,298.8500,2771134
2020-04-22,308.0000,311.4500,296.2000,302.5500,6813699
2020-04-21,303.1000,314.0000,293.3000,311.0500,3939565
2020-04-20,321.9500,321.9500,303.0500,307.5500,7127300
2020-04-17,290.0000,303.8000,283.2000,300.9500,9091489
2020-04-16,267.1000,280.0000,265.2000,276.2000,6728570
2020-04-15,290.0000,298.9000,273.6000,276.3000,5152168
2020-04-13,307.0000,307.0000,287.1000,289.8000,2420206
2020-04-09,288.0000,313.2000,287.1000,305.8000,5330945
2020-04-08,261.1000,288.0000,261.0000,285.9000,6025235
2020-04-07,254.0000,278.2000,240.1000,264.4000,7046196
2020-04-03,275.0500,277.9500,251.5000,252.9500,3325462
2020-04-01,297.3500,297.4000,275.0000,279.1500,2763943
2020-03-31,297.0000,302.9000,287.0500,297.5500,1026802
2020-03-30,295.0000,300.7500,287.0000,292.8000,1633641
2020-03-27,328.0000,333.0000,298.0000,303.9500,3061148
2020-03-26,332.0000,342.0000,312.6000,322.3500,4672157
2020-03-25,330.0000,347.8500,325.1500,332.5000,2560659
2020-03-24,310.5000,354.7500,310.5000,339.4000,2368738
2020-03-23,345.0000,370.0000,306.0000,331.3500,1619498
2020-03-20,365.1000,383.5000,354.0000,379.8000,1987327
2020-03-19,341.0000,386.5500,341.0000,363.2000,1936284
2020-03-18,387.5500,391.4000,352.6500,363.3500,1727058
2020-03-17,380.0000,400.8000,372.4500,385.1500,1202231
2020-03-16,383.5000,396.3000,376.5500,380.6500,601755
2020-03-13,351.0000,408.6500,349.4000,403.1000,1617971
2020-03-12,387.9500,395.9500,366.0000,388.2000,1669093
2020-03-11,397.2500,409.4000,391.7500,403.8000,1745488
2020-03-09,402.1500,407.7500,388.3500,399.7000,1370754
2020-03-06,404.7000,416.5000,396.2500,414.1000,1049346
2020-03-05,413.7000,417.6500,406.2000,413.9500,1096006
2020-03-04,424.0000,428.0000,400.6000,409.8500,2691474
2020-03-03,422.0000,430.0000,408.5000,422.1500,1973306
2020-03-02,435.5500,446.7000,412.5500,419.3500,2266674
2020-02-28,421.0000,441.0000,418.8500,435.7000,2258696
2020-02-27,428.0000,444.0000,422.9500,439.6000,2638164
2020-02-26,424.8000,437.8000,423.5500,435.3000,1585956
2020-02-25,422.0000,441.9000,409.4500,436.4000,8613028
2020-02-24,446.4000,448.4500,436.2500,438.6000,1050427
2020-02-20,440.5000,447.9000,437.3000,446.4500,1211994
2020-02-19,442.9500,446.7000,434.5500,440.7000,1353692
2020-02-18,429.0000,443.0000,424.0000,438.4000,1737719
2020-02-17,436.0000,440.5000,428.1500,430.4500,1104464
2020-02-14,444.8000,447.5500,437.1000,439.2000,814225
2020-02-13,450.8500,451.5000,441.6000,444.8000,895235
2020-02-12,454.8000,455.2000,444.4000,448.0500,899763
2020-02-11,458.9000,461.6500,449.4000,451.0000,1022942
2020-02-10,466.2000,467.8000,454.5000,456.2000,862786
2020-02-07,476.2000,479.9500,464.7500,466.2000,1261340
