stopping sim at  229 + 12 / 241
::  Return for Rs 10000 / 12 months starting from 2007_12 is -49.15
::  Return for Rs 10000 / 12 months starting from 2007_11 is -43.32
::  Return for Rs 10000 / 12 months starting from 2008_01 is -39.62
::  Return for Rs 10000 / 12 months starting from 2008_02 is -31.84
::  Return for Rs 10000 / 12 months starting from 2008_03 is -30.02
::  Return for Rs 10000 / 12 months starting from 2000_11 is -25.9
::  Return for Rs 10000 / 12 months starting from 2000_10 is -25.51
::  Return for Rs 10000 / 12 months starting from 2011_01 is -20.92
::  Return for Rs 10000 / 12 months starting from 2007_10 is -20.68
::  Return for Rs 10000 / 12 months starting from 2010_09 is -18.65
::  Return for Rs 10000 / 12 months starting from 2019_04 is -17.79
::  Return for Rs 10000 / 12 months starting from 2001_08 is -15.71
::  Return for Rs 10000 / 12 months starting from 2010_12 is -15.55
::  Return for Rs 10000 / 12 months starting from 2010_08 is -14.94
::  Return for Rs 10000 / 12 months starting from 2000_12 is -14.86
::  Return for Rs 10000 / 12 months starting from 2010_10 is -14.77
::  Return for Rs 10000 / 12 months starting from 2001_06 is -14.51
::  Return for Rs 10000 / 12 months starting from 2014_04 is -13.94
::  Return for Rs 10000 / 12 months starting from 2007_09 is -13.35
::  Return for Rs 10000 / 12 months starting from 2011_04 is -12.28
::  Return for Rs 10000 / 12 months starting from 2000_09 is -11.63
::  Return for Rs 10000 / 12 months starting from 2000_08 is -11.62
::  Return for Rs 10000 / 12 months starting from 2001_05 is -11.53
::  Return for Rs 10000 / 12 months starting from 2008_04 is -11.17
::  Return for Rs 10000 / 12 months starting from 2010_07 is -10.83
::  Return for Rs 10000 / 12 months starting from 2001_09 is -10.81
::  Return for Rs 10000 / 12 months starting from 2011_06 is -10.76
::  Return for Rs 10000 / 12 months starting from 2010_02 is -10.47
::  Return for Rs 10000 / 12 months starting from 2011_05 is -10.45
::  Return for Rs 10000 / 12 months starting from 2014_03 is -10.34
::  Return for Rs 10000 / 12 months starting from 2001_07 is -10.0
::  Return for Rs 10000 / 12 months starting from 2014_05 is -9.58
::  Return for Rs 10000 / 12 months starting from 2009_09 is -9.48
::  Return for Rs 10000 / 12 months starting from 2001_01 is -8.92
::  Return for Rs 10000 / 12 months starting from 2007_08 is -8.55
::  Return for Rs 10000 / 12 months starting from 2001_10 is -8.35
::  Return for Rs 10000 / 12 months starting from 2011_07 is -7.06
::  Return for Rs 10000 / 12 months starting from 2014_09 is -7.04
::  Return for Rs 10000 / 12 months starting from 2014_06 is -6.96
::  Return for Rs 10000 / 12 months starting from 2011_02 is -6.68
::  Return for Rs 10000 / 12 months starting from 2014_10 is -6.52
::  Return for Rs 10000 / 12 months starting from 2007_07 is -6.44
::  Return for Rs 10000 / 12 months starting from 2010_06 is -6.19
::  Return for Rs 10000 / 12 months starting from 2014_01 is -6.07
::  Return for Rs 10000 / 12 months starting from 2001_04 is -5.86
::  Return for Rs 10000 / 12 months starting from 2011_03 is -5.05
::  Return for Rs 10000 / 12 months starting from 2018_08 is -4.95
::  Return for Rs 10000 / 12 months starting from 2010_11 is -4.87
::  Return for Rs 10000 / 12 months starting from 2011_08 is -4.86
::  Return for Rs 10000 / 12 months starting from 2001_11 is -4.59
::  Return for Rs 10000 / 12 months starting from 2003_07 is -4.49
::  Return for Rs 10000 / 12 months starting from 2001_02 is -4.46
::  Return for Rs 10000 / 12 months starting from 2013_03 is -4.12
::  Return for Rs 10000 / 12 months starting from 2003_09 is -4.04
::  Return for Rs 10000 / 12 months starting from 2009_10 is -3.84
::  Return for Rs 10000 / 12 months starting from 2009_12 is -3.75
::  Return for Rs 10000 / 12 months starting from 2010_05 is -3.41
::  Return for Rs 10000 / 12 months starting from 2010_03 is -3.09
::  Return for Rs 10000 / 12 months starting from 2009_08 is -2.72
::  Return for Rs 10000 / 12 months starting from 2013_02 is -2.65
::  Return for Rs 10000 / 12 months starting from 2003_06 is -2.13
::  Return for Rs 10000 / 12 months starting from 2014_02 is -2.09
::  Return for Rs 10000 / 12 months starting from 2015_12 is -1.99
::  Return for Rs 10000 / 12 months starting from 2002_02 is -1.08
::  Return for Rs 10000 / 12 months starting from 2002_05 is -0.66
::  Return for Rs 10000 / 12 months starting from 2009_06 is -0.57
::  Return for Rs 10000 / 12 months starting from 2019_03 is -0.38
::  Return for Rs 10000 / 12 months starting from 2012_04 is -0.25
::  Return for Rs 10000 / 12 months starting from 2001_03 is -0.05
::  Return for Rs 10000 / 12 months starting from 2009_05 is 0.08
::  Return for Rs 10000 / 12 months starting from 2000_05 is 0.14
::  Return for Rs 10000 / 12 months starting from 2015_07 is 0.24
::  Return for Rs 10000 / 12 months starting from 2015_06 is 0.36
::  Return for Rs 10000 / 12 months starting from 2012_05 is 0.66
::  Return for Rs 10000 / 12 months starting from 2012_10 is 0.66
::  Return for Rs 10000 / 12 months starting from 2018_09 is 0.72
::  Return for Rs 10000 / 12 months starting from 2011_09 is 0.92
::  Return for Rs 10000 / 12 months starting from 2012_12 is 1.1
::  Return for Rs 10000 / 12 months starting from 2002_04 is 1.28
::  Return for Rs 10000 / 12 months starting from 2003_12 is 1.77
::  Return for Rs 10000 / 12 months starting from 2003_08 is 1.83
::  Return for Rs 10000 / 12 months starting from 2016_02 is 2.4
::  Return for Rs 10000 / 12 months starting from 2010_01 is 2.61
::  Return for Rs 10000 / 12 months starting from 2013_10 is 2.73
::  Return for Rs 10000 / 12 months starting from 2009_03 is 2.8
::  Return for Rs 10000 / 12 months starting from 2010_04 is 2.87
::  Return for Rs 10000 / 12 months starting from 2003_10 is 3.18
::  Return for Rs 10000 / 12 months starting from 2004_01 is 3.43
::  Return for Rs 10000 / 12 months starting from 2004_02 is 3.66
::  Return for Rs 10000 / 12 months starting from 2012_09 is 3.76
::  Return for Rs 10000 / 12 months starting from 2000_07 is 3.87
::  Return for Rs 10000 / 12 months starting from 2011_11 is 3.93
::  Return for Rs 10000 / 12 months starting from 2015_05 is 3.93
::  Return for Rs 10000 / 12 months starting from 2014_11 is 4.02
::  Return for Rs 10000 / 12 months starting from 2001_12 is 4.22
::  Return for Rs 10000 / 12 months starting from 2015_11 is 4.5
::  Return for Rs 10000 / 12 months starting from 2004_06 is 4.56
::  Return for Rs 10000 / 12 months starting from 2009_07 is 4.65
::  Return for Rs 10000 / 12 months starting from 2011_12 is 4.67
::  Return for Rs 10000 / 12 months starting from 2012_06 is 4.96
::  Return for Rs 10000 / 12 months starting from 2015_08 is 5.39
::  Return for Rs 10000 / 12 months starting from 2013_01 is 5.43
::  Return for Rs 10000 / 12 months starting from 2018_07 is 5.56
::  Return for Rs 10000 / 12 months starting from 2002_01 is 5.94
::  Return for Rs 10000 / 12 months starting from 2016_01 is 6.01
::  Return for Rs 10000 / 12 months starting from 2017_11 is 6.15
::  Return for Rs 10000 / 12 months starting from 2003_11 is 6.29
::  Return for Rs 10000 / 12 months starting from 2015_03 is 6.53
::  Return for Rs 10000 / 12 months starting from 2012_03 is 6.55
::  Return for Rs 10000 / 12 months starting from 2014_07 is 6.82
::  Return for Rs 10000 / 12 months starting from 2009_11 is 7.0
::  Return for Rs 10000 / 12 months starting from 2004_05 is 7.02
::  Return for Rs 10000 / 12 months starting from 2018_10 is 7.35
::  Return for Rs 10000 / 12 months starting from 2014_08 is 7.44
::  Return for Rs 10000 / 12 months starting from 2013_11 is 7.46
::  Return for Rs 10000 / 12 months starting from 2014_12 is 7.52
::  Return for Rs 10000 / 12 months starting from 2012_08 is 7.59
::  Return for Rs 10000 / 12 months starting from 2019_02 is 7.64
::  Return for Rs 10000 / 12 months starting from 2004_04 is 7.77
::  Return for Rs 10000 / 12 months starting from 2009_04 is 7.83
::  Return for Rs 10000 / 12 months starting from 2002_03 is 7.84
::  Return for Rs 10000 / 12 months starting from 2017_06 is 7.92
::  Return for Rs 10000 / 12 months starting from 2013_12 is 8.19
::  Return for Rs 10000 / 12 months starting from 2012_07 is 8.39
::  Return for Rs 10000 / 12 months starting from 2007_06 is 8.65
::  Return for Rs 10000 / 12 months starting from 2004_03 is 8.87
::  Return for Rs 10000 / 12 months starting from 2002_06 is 9.25
::  Return for Rs 10000 / 12 months starting from 2008_05 is 9.25
::  Return for Rs 10000 / 12 months starting from 2012_11 is 9.56
::  Return for Rs 10000 / 12 months starting from 2011_10 is 9.59
::  Return for Rs 10000 / 12 months starting from 2018_01 is 9.81
::  Return for Rs 10000 / 12 months starting from 2019_05 is 9.87
::  Return for Rs 10000 / 12 months starting from 2013_09 is 9.93
::  Return for Rs 10000 / 12 months starting from 2012_01 is 10.13
::  Return for Rs 10000 / 12 months starting from 2015_10 is 10.31
::  Return for Rs 10000 / 12 months starting from 2015_09 is 10.38
::  Return for Rs 10000 / 12 months starting from 2017_04 is 10.48
